FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES	REMARKS
0001	Abrikos, t�rret	Apricot, dried	A0143 A0455 A0629 A0707 A0732 A0756 A0834 B1529 C0139 E0131 F0003 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
0002	Agurk, r�	Cucumber, raw	A0152 A0455 A0629 A0676 A0705 A0731 A0826 B1404 C0140 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
0003	Ananas, r�	Pineapple, raw	A0143 A0455 A0629 A0673 A0707 A0732 A0833 B1484 C0140 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0004	Ananas, konserves	Pineapple, canned	A0143 A0455 A0629 A0660 A0707 A0732 A0834 B1484 C0230 E0115 F0014 G0003 H0136 J0123 K0013 M0001 N0001 P0024	
0005	Appelsin, r�	Orange, raw	A0143 A0455 A0629 A0668 A0707 A0732 A0833 B1339 C0137 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0006	And, k�d og skind, r�	Duck, flesh and skin, raw	A0273 A0459 A0633 A0715 A0726 A0741 A0795 B1316 C0267 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0007	And, k�d, r�	Duck, flesh only, raw	A0273 A0459 A0633 A0715 A0726 A0741 A0795 B1316 C0268 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0008	Asparges, uspec., r�	Asparagus, all types, raw	A0152 A0455 A0629 A0682 A0705 A0731 A0826 B1415 C0186 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0009	Asparges, konserves	Asparagus, canned	A0152 A0455 A0629 A0662 A0705 A0731 A0827 B1415 C0186 E0152 F0014 G0013 H0001 J0123 K0017 M0001 N0001 P0024	
0010	Aubergine, r�	Aubergine (eggplant), raw	A0152 A0455 A0629 A0677 A0705 A0731 A0826 B1458 C0140 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0011	Avocado, r�	Avocado, raw	A0143 A0455 A0629 A0670 A0707 A0732 A0833 B1470 C0230 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0012	Svinebryst, kogestykke, helt, saltet	Pork, belly, whole cut, cured, raw	A0150 A0459 A0633 A0714 A0726 A0737 A0797 B1136 C0103 E0150 F0003 G0003 H0173 J0103 J0131 K0003 M0001 N0001 P0024 Z0045	
0013	Svinebryst, stegestykke, helt, saltet	Pork, belly, streaky bacon, whole cut, cured, raw	A0150 A0459 A0633 A0714 A0726 A0737 A0797 B1136 C0103 E0150 F0003 G0003 H0173 J0103 J0131 K0003 M0001 N0001 P0024 Z0045	
0014	Banan, r�	Banana, raw	A0143 A0455 A0629 A0673 A0707 A0732 A0833 B1266 C0137 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0015	Bladselleri, r�	Celery, raw	A0152 A0455 A0629 A0682 A0705 A0731 A0826 B1282 C0144 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
0016	Blodp�lse	Black pudding (boiled)	A0221 A0459 A0633 A0666 A0714 A0726 A0798 B1136 C0185 E0147 F0001 G0001 H0151 H0173 J0100 K0003 M0004 N0004 P0024	
0017	Blomk�l, uspec., r�	Cauliflower, all varieties, raw	A0152 A0455 A0629 A0675 A0705 A0731 A0826 B1094 C0237 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
0018	Blomme, r�	Plum, raw	A0143 A0455 A0629 A0670 A0707 A0732 A0833 B1206 C0140 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0019	Bl�ksprutte, r�	Octopus, raw	A0267 A0460 A0634 A0717 A0727 A0752 A0802 B1514 C0173 E0150 F0003 G0003 H0001 J0142 K0003 M0001 N0001 P0024	
0020	Bl�b�r, r�	Bilberry, raw	A0143 A0455 A0629 A0671 A0707 A0732 A0833 B1491 C0167 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
0021	Broccoli, r�	Broccoli, raw	A0152 A0455 A0629 A0650 A0705 A0731 A0826 B1443 C0237 E0150 F0003 G0003 H0003 J0131 K0003 M0001 N0001 P0024	
0022	Bromb�r, r�	Blackberry, raw	A0143 A0455 A0629 A0671 A0707 A0732 A0833 B1407 C0167 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
