FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES	REMARKS
945	Aardappel driekantjes bereid in diamantvet	Potatoes triangulardeep fat fried	A0152 A0706 A0829 B1218	
947	Aardappel driekantjes bereid in oven	Potatoes triangular prepared in oven	A0152 A0706 A0829 B1218	
946	Aardappel driekantjes bereid in zonnebloemolie	Potatoes triangular prep in sunflower oi	A0152 A0706 A0829 B1218	
1457	Aardappelen gebakken	Potatoes fried	A0152 A0706 A0829 B1218 C0240 E0150 F0014 G0026 H0003 J0001 K0003 M0001 N0001 P0024 P0078	
982	Aardappelen gekookt	Potatoes boiled	A0152 A0706 A0829 B1218 C0240 E0150 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024 P0037 P0078	
2	Aardappelen nieuwe rauw	Potatoes new raw	A0152 A0706 A0829 B1218 C0240 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
3	Aardappelen oude rauw	Potatoes old raw	A0152 A0706 A0829 B1218 C0240 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
1	Aardappelen rauw	Potatoes raw	A0152 A0706 A0829 B1218 C0240 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
1680	Aardappelkroketten diepvries bereid	Potato croquettes frozen ready to serve	A0152 A0706 A0829 B1218	
121	Aardappelpuree bereid	Potatoes mashed ready to serve	A0152 A0706 A0829 B1218	
737	Aardappelpuree instant bereid	Potatoes mashed instant ready to serve	A0152 A0706 A0829 B1218	
1455	Aardappelpureepoeder	Potato pur�e powder	A0152 A0706 A0829 B1218	
1678	Aardappelschijfjes diepvries gefrituurd	Potatoes sliced frozen deep-fried	A0152 A0706 A0829 B1218	
1150	Aardappelschijfjes diepvries onbereid	Potatoes sliced frozen	A0152 A0706 A0829 B1218	
148	Aardbeien	Strawberries	A0143 A0707 A0833 B1393 C0137 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
174	Aardbeien op siroop blik/glas	Strawberries in syrup canned	A0143 A0707 A0834 B1393 C0229 E0150 F0014 G0003 H0136 J0123 K0023 M0194 N0001 P0024	
175	Abrikozen gedroogd	Apricots dried	A0143 A0707 A0833 B1529 C0213 E0116 F0003 G0003 H0138 J0141 K0003 M0001 N0001 P0024	
149	Abrikozen m schil	Apricots with skin	A0143 A0707 B1529 C0139 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
176	Abrikozen op siroop blik/glas	Apricots in syrup canned	A0143 A0707 B1529 C0229 E0152 F0014 G0003 H0136 J0123 K0023 M0194 N0001 P0024	
2258	Actimel drank naturel	Actimel drink naturel	A0721 A0781 B1297	
1733	Addital En+ Min+ Vit+ p 100 ml Friesland Nutrition	Pf En/mineral/vitamin+ Addital p 100 ml	A0723 A0870 B0001	
1734	Addital En+ Min+ Vit+ poeder Friesland Nutrition	Pf En/mineral/vitamin+ Addital powder	A0723 A0870 B0001	
382	Advocaat	Advocaat liqueur	A0278 A0713 B3324 C0005 E0135 F0018 G0003 H0136 H0186 H0332 J0135 K0003 M0001 N0001 P0024	
672	Agoemawiwiri rauw	Agoemawiwiri	A0705 A0827 B1347	
1054	Alburone poeder Nestl�	Mpc Alburone powder Roussel	A0723 A0869 B0001	
1237	Algenkondiment Lima	Seaweed dried algencondiment Lima	A0853 B2266	
790	Amandelspijs m ei	Almond paste with egg	A0703 A0823 B1539	
673	Amsoi rauw	Mustard leaf raw	A0152 A0705 A0825 B1566 C0200 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
150	Ananas	Pineapple	A0143 A0707 A0833 B1484 C0229 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
177	Ananas op siroop blik/glas	Pineapple in syrup canned	A0143 A0707 A0834 B1484 C0229 E0152 F0014 G0003 H0136 J0123 K0023 M0194 N0001 P0024	
129	Andijvie blik/glas	Endive canned	A0152 A0705 A0825 B1314 C0200 E0152 F0014 G0015 H0001 J0123 K0003 M0194 N0001 P0024	
1136	Andijvie diepvries onbereid	Endive frozen unprepared	A0152 A0705 B1314 C0200 E0152 F0018 G0042 H0001 J0136 K0003 M0001 N0001 P0024	
