FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES	REMARKS
15155	ABALONE,MIXED SPECIES,RAW	Mollusks, abalone, mixed species, raw	A0267 A0802 A1285 B1408 C0173 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 R0001 Z0001	
15156	ABALONE,MXD SP,CKD,FRIED	Mollusks, abalone, mixed species, cooked, fried	A0267 A0802 A1285 B1408 C0173 E0150 F0014 G0024 H0319 J0001 K0003 M0001 N0001 P0024 R0001 Z0001	
09427	ABIYUCH,RAW	Abiyuch, raw	A0143 A0833 A1279 B4464 C0167 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 R0001 Z0001	
09002	ACEROLA JUICE,RAW	Acerola juice, raw	A0127 A0841 A1279 B1360 C0300 E0123 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 R0001 Z0001	
09001	ACEROLA,(WEST INDIAN CHERRY),RAW	Acerola, (west indian cherry), raw	A0143 A0833 A1279 B1360 C0139 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 R0001 Z0001	
12060	ACORN FLOUR,FULL FAT	Nuts, acorn flour, full fat	A0260 A0824 A1282 B1715 C0155 E0106 F0003 G0003 H0138 J0116 K0003 M0001 N0001 P0024 R0001 Z0001	
35182	ACORN STEW (APACHE)	Acorn stew (Apache)	A0212 A0861 A1294 B0001 C0001 E0149 F0014 G0020 H0148 H0191 H0229 H0757 J0001 K0003 M0001 N0001 P0024 P0269 R0469 Z0109	
12059	ACORNS,DRIED	Nuts, acorns, dried	A0260 A0823 A1282 B1715 C0155 E0150 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024 R0001 Z0001	
12058	ACORNS,RAW	Nuts, acorns, raw	A0260 A0823 A1282 B1715 C0155 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 R0001 Z0001	
35193	AGAVE,CKD (SOUTHWEST)	Agave, cooked (Southwest)	A0152 A0826 A1294 B1535 C0174 E0151 F0014 G0001 H0001 J0001 K0003 M0001 N0001 P0024 P0274 R0469 Z0001	
35194	AGAVE,DRIED (SOUTHWEST)	Agave, dried (Southwest)	A0152 A0826 A1294 B1535 C0174 E0151 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024 P0274 R0469 Z0001	
35192	AGAVE,RAW (SOUTHWEST)	Agave, raw (Southwest)	A0152 A0826 A1294 B1535 C0174 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 P0274 R0469 Z0001	
35225	AGUTUK,FISH W/ SHORTENING (ALASKAN ICE CREAM) (ALASKA NATIVE)	Agutuk, fish with shortening (Alaskan ice cream) (Alaska Native)	A0172 A0804 A1294 B1222 C0164 E0001 F0001 G0003 H0221 J0001 K0003 M0001 N0001 P0024 P0268 R0415 Z0109	
35001	AGUTUK,FISH/BERRY W/ SEAL OIL (ICE CREAM) (ALASKA NATIVE)	Agutuk, fish/berry with seal oil (Alaskan ice cream) (Alaska Native)	A0172 A0804 A1294 B1222 C0164 E0001 F0001 G0003 H0147 H0262 J0001 K0003 M0001 N0001 P0024 P0268 R0415 Z0109	
35003	AGUTUK,MEAT-CARIBOU (ALASKAN ICE CREAM) (ALASKA NATIVE)	Agutuk, meat-caribou (Alaskan ice cream) (Alaska Native)	A0172 A0799 A1294 B1509 C0103 E0001 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024 P0268 R0415 Z0109	
14533	ALCOHOLIC BEV DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 100PROOF	Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 100 proof	A0277 A0850 A1284 B1347 C0174 E0123 F0001 G0003 H0232 H0270 J0001 K0003 M0001 N0001 P0188 R0001 Z0112	
14006	ALCOHOLIC BEV,BEER,LT	Alcoholic beverage, beer, light	A0195 A0847 A1284 B1230 C0102 E0123 F0001 G0003 H0232 H0246 H0266 J0121 K0003 M0001 N0001 P0034 P0132 P0188 R0001 Z0112	
14007	ALCOHOLIC BEV,BEER,LT,BUD LT	Alcoholic beverage, beer, light, BUD LIGHT	A0195 A0847 A1284 B1230 C0102 E0123 F0001 G0003 H0232 H0246 H0266 J0121 K0003 M0001 N0001 P0034 P0132 P0188 R0001 Z0112	
14005	ALCOHOLIC BEV,BEER,LT,BUDWEISER SEL	Alcoholic beverage, beer, light, BUDWEISER SELECT	A0195 A0847 A1284 B1230 C0102 E0123 F0001 G0003 H0232 H0246 H0266 J0121 K0003 M0001 N0001 P0034 P0132 P0188 R0001 Z0112	
14013	ALCOHOLIC BEV,BEER,LT,LO CARB	Alcoholic beverage, beer, light, low carb	A0195 A0847 A1284 B1230 C0102 E0123 F0001 G0003 H0232 H0246 H0266 J0121 K0003 M0001 N0001 P0034 P0132 P0188 R0001 Z0112	
